Segmented_Min,NonSegmented_Min,Segmented_Win,NonSegmented_Win,Delta
0.994959193267,1.98991819777,1,0,0.994959004501
2.62327581879e-08,2.44920292047e-07,1,0,2.18687533859e-07
1.63304942902e-08,0.994961413471,1,0,0.99496139714
2.84934188244e-07,0.994959861552,1,0,0.994959576618
0.9949608887,2.98487738627,1,0,1.98991649757
1.98991817528,1.98991824381,1,0,6.85317225191e-08
2.24608722732e-08,0.994959117367,1,0,0.994959094907
1.98991812523,3.97983634588,1,0,1.98991822065
1.84516894208e-07,0.994959089908,1,0,0.994958905391
0.994959252007,5.76419076026e-07,0,1,-0.994958675588
0.994959123085,1.71703826268e-07,0,1,-0.994958951382
2.98487759877,2.26318851659e-07,0,1,-2.98487737245
6.83422989312e-08,1.9899183363,1,0,1.98991826795
0.994959133316,7.66996217649e-07,0,1,-0.99495836632
0.994959103101,1.98991812512,1,0,0.994959022022
1.98991814047,0.994959398568,0,1,-0.994958741904
0.994959129093,1.98991848745,1,0,0.99495935836
1.00226497324e-07,2.98487760322,1,0,2.984877503
0.994959067524,1.98991814099,1,0,0.994959073469
1.98991812409,3.97983633405,1,0,1.98991820996
