Segmented_Min,NonSegmented_Min,Segmented_Win,NonSegmented_Win,Delta
1.1620585753,0.994959271995,0,1,-0.167099303301
1.98991905767,1.98991819908,0,1,-8.58591786113e-07
0.994959067829,2.98487723185,1,0,1.98991816402
1.98991814849,4.97479538671,1,0,2.98487723822
7.0183023837e-08,1.98991821926,1,0,1.98991814908
1.30644414398e-07,3.97983626356,1,0,3.97983613292
1.1620586407,1.98991811575,1,0,0.827859475051
3.19029735962e-07,0.994960670774,1,0,0.994960351744
0.994959213944,0.99495914142,0,1,-7.25248909816e-08
0.994959608063,1.98991819835,1,0,0.99495859029
3.82911249375e-08,0.994959128537,1,0,0.994959090246
7.99084638459e-08,3.38952759193e-08,0,1,-4.60131879265e-08
0.99496129454,0.994964294997,1,0,3.00045673463e-06
0.994959093416,3.97983628761,1,0,2.98487719419
6.01397829314e-08,0.994959429567,1,0,0.994959369427
3.06984522247e-06,2.98487718674,1,0,2.98487411689
1.16205858589,1.06016011969e-07,0,1,-1.16205847987
1.27135297845e-08,0.994959119375,1,0,0.994959106661
0.994959099562,0.994959396393,1,0,2.96830762636e-07
0.994959161809,0.99495907537,0,1,-8.64383551402e-08
