Segmented_Min,NonSegmented_Min,Segmented_Win,NonSegmented_Win,Delta
1.16205858162,1.98992009687,1,0,0.827861515247
0.994959335845,2.53686904372e-07,0,1,-0.994959082158
1.16205955503,0.994959069867,0,1,-0.167100485159
1.16205924826,3.27353060214e-08,0,1,-1.16205921553
0.994959587619,0.994970866432,1,0,1.1278812762e-05
1.16205863709,0.994959170344,0,1,-0.167099466745
2.15701803631,0.994959101869,0,1,-1.16205893444
1.16205896333,2.39751209108e-07,0,1,-1.16205872358
1.50344780181e-07,0.994959079636,1,0,0.994958929291
1.98991823379,7.4946006734e-08,0,1,-1.98991815884
1.16205864926,1.17325118509e-08,0,1,-1.16205863753
1.16205862595,0.994959371326,0,1,-0.167099254621
1.16205863396,1.9899182123,1,0,0.827859578345
0.994959205545,0.99495916081,0,1,-4.47345183119e-08
1.16205858935,1.9899181873,1,0,0.827859597952
1.16205872735,1.98991836276,1,0,0.827859635411
0.994959122982,1.98991814926,1,0,0.99495902628
1.16205857593,4.99777179641e-08,0,1,-1.16205852595
2.15701762863,1.98991836351,0,1,-0.167099265124
1.16205920947,3.39815304784e-08,0,1,-1.16205917549
