Segmented_Min,NonSegmented_Min,Segmented_Win,NonSegmented_Win,Delta
493.214000247,478.928706493,0,1,-14.2852937538
509.950487122,626.536675357,1,0,116.586188235
441.516207571,459.881754213,1,0,18.3655466415
559.599113188,653.115984889,1,0,93.5168717011
517.065577323,567.265625855,1,0,50.2000485318
423.412068656,615.520970265,1,0,192.10890161
427.044664198,596.403850561,1,0,169.359186363
534.662611263,643.37964066,1,0,108.717029397
546.812741917,486.106240609,0,1,-60.7065013087
531.698456545,538.838573347,1,0,7.14011680248
513.922537298,576.504964274,1,0,62.5824269757
486.601515379,633.430442775,1,0,146.828927397
526.060261844,516.736223904,0,1,-9.32403793998
480.860711566,482.97868072,1,0,2.11796915372
610.770603123,443.039035403,0,1,-167.73156772
414.942546173,653.400376971,1,0,238.457830798
474.471598788,661.217617032,1,0,186.746018244
469.108177631,602.657911219,1,0,133.549733588
490.325302364,529.812947712,1,0,39.4876453486
501.829141292,627.531803942,1,0,125.70266265

